"city","date","day.of.week","time","time.hour","lat","lng","subject.age","subject.race","subject.sex","violation","outcome","vehicle.make","vehicle.colour","vehicle.year"
"sa","2015-09-17","Thursday","15:27:00",15.45,29.3456125,-98.5279576,37,"hispanic","female","FAIL TO CHANGE ADDRESS ON LICENSE|DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY|DISREGARD STOP SIGN","citation","chevrolet","other",2006
"sa","2016-03-14","Monday","09:59:00",9.98333333333333,29.3557981,-98.526066,23,"hispanic","male","SPEEDING-POSTED LIMIT","citation","other","white",2006
"sa","2014-08-06","Wednesday","23:57:00",23.95,29.3604647,-98.4267972,26,"white","male","DRIVING ON LEFT-NOT PASSING|DISREGARD STOP SIGN|DRIVING WHILE LICENSE INVALID","citation","honda","other",2005
"sa","2017-02-17","Friday","08:21:00",8.35,29.3822739,-98.4828668,26,"hispanic","female","SPEEDING IN SCHOOL ZONE","citation","honda","silver",2017
"sa","2012-07-19","Thursday","20:22:00",20.3666666666667,29.3962227,-98.4955798,33,"white","female","FOLLOWING TOO CLOSELY|SPEEDING-POSTED LIMIT","citation","chevrolet","other",2006
"sa","2012-11-29","Thursday","21:43:00",21.7166666666667,29.2751807,-98.4713434,51,"white","female","IMPROPER LANE CHANGE -SIGNAL","citation","other","white",1992
"sa","2017-03-09","Thursday","14:17:00",14.2833333333333,29.362938,-98.4447572,43,"white","female","SPEEDING-POSTED LIMIT","citation","other","white",2014
"sa","2013-03-18","Monday","17:00:00",17,29.4950056,-98.4335846,37,"hispanic","male","FAILURE TO DISPLAY DRIVER'S LICENSE|DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY|FAILURE TO DISPLAY VALID REGISTRATION INSIGNIA (STICKER)","citation","other","white",2000
"sa","2017-11-06","Monday","13:31:00",13.5166666666667,29.4063982,-98.6179241,40,"black","female","SPEEDING-POSTED LIMIT","citation","honda","silver",2004
"sa","2014-06-07","Saturday","00:42:00",0.7,29.4005601,-98.5575651,31,"hispanic","female","FAILURE TO DISPLAY VALID REGISTRATION INSIGNIA (STICKER)|SAFETY SEAT SYSTEM - 7 YEARS AND UNDER","citation","other","white",2004
"sa","2016-03-01","Tuesday","18:23:00",18.3833333333333,29.4078615,-98.5026401,36,"hispanic","female","USE OF HAND-HELD MOBILE COMMUNICATION DEVICE","citation","other","silver",2002
"sa","2013-05-12","Sunday","23:52:00",23.8666666666667,29.454894,-98.5350546,19,"white","male","OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE|NO VALID CERTIFICATE OF INSPECTION|DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY","citation","toyota","other",1994
"sa","2012-04-14","Saturday","23:42:00",23.7,29.40253,-98.4327175,28,"black","male","OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE","citation","other","other",2007
"sa","2020-04-15","Wednesday","14:22:00",14.3666666666667,29.5583544,-98.3826029,38,"white","female","SPEEDING-POSTED LIMIT","citation","other","black",2007
"sa","2013-08-22","Thursday","18:29:00",18.4833333333333,29.3902095,-98.5517319,46,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","gray",2005
"sa","2016-03-05","Saturday","21:22:00",21.3666666666667,29.4247962,-98.4816434,21,"hispanic","female","SPEEDING-POSTED LIMIT","citation","chevrolet","other",2006
"sa","2018-10-14","Sunday","17:20:00",17.3333333333333,29.4063982,-98.6179241,38,"white","female","SPEEDING-POSTED LIMIT","citation","ford","other",2015
"sa","2015-07-21","Tuesday","19:37:00",19.6166666666667,29.4604377,-98.5591503,41,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","other",2008
"sa","2013-12-28","Saturday","12:16:00",12.2666666666667,29.3528029,-98.5290482,54,"hispanic","male","SPEEDING-POSTED LIMIT","citation","other","black",2007
"sa","2012-10-30","Tuesday","05:42:00",5.7,29.3673726,-98.4952088,34,"hispanic","male","SPEEDING-POSTED LIMIT","citation","chevrolet","other",1996
"sa","2016-10-10","Monday","16:49:00",16.8166666666667,29.5347245,-98.3865803,18,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","black",2015
"sa","2015-08-04","Tuesday","10:18:00",10.3,29.3543746,-98.46229,47,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","other",2013
"sa","2017-02-17","Friday","10:05:00",10.0833333333333,29.3503526,-98.5335994,30,"white","female","SPEEDING-POSTED LIMIT","citation","other","other",2008
"sa","2018-01-12","Friday","11:19:00",11.3166666666667,29.3528029,-98.5290482,28,"hispanic","male","SPEEDING-POSTED LIMIT|OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE","citation","ford","other",1999
"sa","2014-07-10","Thursday","18:28:00",18.4666666666667,29.4247962,-98.4816434,26,"hispanic","female","FAILURE TO DISPLAY VALID REGISTRATION INSIGNIA (STICKER)","citation","toyota","black",1998
"sa","2014-05-28","Wednesday","21:53:00",21.8833333333333,29.4040082,-98.6253236,27,"hispanic","male","SPEEDING-POSTED LIMIT","citation","ford","other",2003
