FED_NUM,NID,FEDNUM,ENNAME,FRNAME,PROVCODE,CREADT,REVDT,REPORDER,DECPOPCNT,QUIPOPCNT,ENLEGALDSC,FRLEGALDSC,WINPARTY,WINPCT,WINVOTES,TOTALVOTES,BQ,CON,GREEN,IND,LIB,NDP,PPC,OTHER
"24010",{D1F455BD-FFA2-4060-860A-19B71D1A2EE5},"24010",Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,QC,"20131005",,"2013","112385","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24010&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24010&lang=f#descrip,CON,"50.092323929999999","32283","64447","14754","32283","1925","0","10734","3256","1307","188"
"24009",{5E243D4C-2EE8-4E8C-8FF6-DCF1448FCDE5},"24009",Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,QC,"20131005",,"2013","93779","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24009&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24009&lang=f#descrip,BQ,"56.657813779999998","29653","52337","29653","8434","1697","0","9332","2732","489","0"
"24008",{754BB4E4-8F8E-4E89-83A4-4CA96FB051D5},"24008",Beauport--Limoilou,Beauport--Limoilou,QC,"20131005",,"2013","92944","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24008&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24008&lang=f#descrip,BQ,"30.182702079999999","15149","50191","15149","13185","2127","0","13020","5599","1033","78"
"24007",{F4A433CE-8E4D-450A-8113-51404D6885F6},"24007",Beauce,Beauce,QC,"20131005",,"2013","106337","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24007&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24007&lang=f#descrip,CON,"38.466068749999998","22860","59429","8410","22860","1461","0","6971","1847","16796","1084"
"24078",{7648D1E0-36ED-40A9-AD77-0A7767C96FCC},"24078",Vimy,Vimy,QC,"20131005",,"2013","104373","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24078&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24078&lang=f#descrip,LIB,"47.701366749999998","26490","55533","15455","5951","2125","0","26490","4779","733","0"
"24077",{3B37E8C8-BD4C-4585-8D31-68CE8A4851C2},"24077",Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,QC,"20131005","20140619","2013","103070","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24077&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24077&lang=f#descrip,LIB,"53.476638360000003","28087","52522","6899","4609","3718","117","28087","8274","520","298"
"24076",{3828E235-2A89-4690-9B3B-C30E06C33A76},"24076",Trois-Rivières,Trois-Rivières,QC,"20131005",,"2013","108774","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24076&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24076&lang=f#descrip,BQ,"28.477980769999999","17240","60538","17240","15240","1492","137","15774","10090","565","0"
"24075",{8334B900-2813-459F-B063-E8C484B52F1D},"24075",Terrebonne,Terrebonne,QC,"20131005",,"2013","106322","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24075&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24075&lang=f#descrip,BQ,"50.589386159999997","31029","61335","31029","4640","2277","159","17944","4627","399","260"
"24074",{723E6415-55B2-4AB3-B6A0-4D6DE5DCA9A0},"24074",Vaudreuil--Soulanges,Vaudreuil--Soulanges,QC,"20131005","20140619","2013","111905","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24074&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24074&lang=f#descrip,LIB,"47.333509440000000","32254","68142","16600","7804","3405","0","32254","7368","711","0"
"24073",{3D3E29E6-3F22-47FC-8759-18D9643A5946},"24073",Sherbrooke,Sherbrooke,QC,"20131005",,"2013","107988","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24073&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24073&lang=f#descrip,LIB,"29.283729030000000","17490","59726","15470","6362","2716","471","17490","16881","0","336"
