id,color,rating
1,nocolor,8
1,pink,7
1,blue,5
1,green,5
2,nocolor,9
2,pink,8
2,blue,7
2,green,7
3,nocolor,5
3,pink,9
3,blue,7
3,green,7
4,nocolor,5
4,pink,3
4,blue,7
4,green,7
5,nocolor,6
5,pink,7
5,blue,8
5,green,6
6,nocolor,5
6,pink,9
6,blue,9
6,green,7
7,nocolor,5
7,pink,4
7,blue,4
7,green,4
8,nocolor,5
8,pink,8
8,blue,7
8,green,7
9,nocolor,9
9,pink,5
9,blue,8
9,green,4
10,nocolor,5
10,pink,9
10,blue,9
10,green,7
11,nocolor,8
11,pink,9
11,blue,5
11,green,6
12,nocolor,6
12,pink,8
12,blue,5
12,green,7
13,nocolor,9
13,pink,7
13,blue,8
13,green,7
14,nocolor,7
14,pink,5
14,blue,7
14,green,4
15,nocolor,9
15,pink,6
15,blue,3
15,green,5
16,nocolor,9
16,pink,10
16,blue,6
16,green,4
17,nocolor,7
17,pink,10
17,blue,8
17,green,9
18,nocolor,6
18,pink,10
18,blue,9
18,green,8
19,nocolor,5
19,pink,7
19,blue,9
19,green,10
20,nocolor,9
20,pink,7
20,blue,5
20,green,5
21,nocolor,8
21,pink,5
21,blue,6
21,green,5
22,nocolor,7
22,pink,9
22,blue,8
22,green,5
23,nocolor,9
23,pink,8
23,blue,10
23,green,6
24,nocolor,7
24,pink,7
24,blue,6.5
24,green,6
25,nocolor,8
25,pink,6
25,blue,9
25,green,5
26,nocolor,6
26,pink,7
26,blue,9
26,green,7
27,nocolor,4
27,pink,5
27,blue,9
27,green,8
28,nocolor,7
28,pink,7
28,blue,8
28,green,9
29,nocolor,7
29,pink,7
29,blue,8
29,green,8
30,nocolor,8
30,pink,7
30,blue,6
30,green,5
31,nocolor,8
31,pink,9
31,blue,7
31,green,8
32,nocolor,5
32,pink,6
32,blue,8
32,green,9
33,nocolor,4
33,pink,5
33,blue,8
33,green,9
34,nocolor,8
34,pink,8
34,blue,7
34,green,5
35,nocolor,8
35,pink,9
35,blue,7.5
35,green,7.5
36,nocolor,4
36,pink,7
36,blue,5
36,green,6
37,nocolor,3
37,pink,8
37,blue,6
37,green,8
