participant_id,font_type,font_colour,reading_time,reading_order
1,Monospace,Dark,35.244,5
1,Monospace,Light,36.039,6
1,SansSerif,Dark,44.404,1
1,SansSerif,Light,33.74,4
1,Cursive,Dark,40.041,3
1,Cursive,Light,47.309,2
2,Monospace,Dark,32.101,2
2,Monospace,Light,29.466,3
2,SansSerif,Dark,30.143,4
2,SansSerif,Light,30.602,6
2,Cursive,Dark,39.114,1
2,Cursive,Light,34.55,5
3,Monospace,Dark,26.017,4
3,Monospace,Light,25.489,6
3,SansSerif,Dark,21.217,2
3,SansSerif,Light,22.316,5
3,Cursive,Dark,25.999,3
3,Cursive,Light,32.049,1
4,Monospace,Dark,23.692,5
4,Monospace,Light,41.591,1
4,SansSerif,Dark,28.121,3
4,SansSerif,Light,22.858,4
4,Cursive,Dark,25.201,6
4,Cursive,Light,28.887,2
5,Monospace,Dark,74.404,1
5,Monospace,Light,56.646,3
5,SansSerif,Dark,61.894,6
5,SansSerif,Light,56.142,2
5,Cursive,Dark,60.036,4
5,Cursive,Light,60.315,5
6,Monospace,Dark,40.133,1
6,Monospace,Light,32.906,6
6,SansSerif,Dark,32.173,2
6,SansSerif,Light,32.731,5
6,Cursive,Dark,37.443,4
6,Cursive,Light,29.129,3
7,Monospace,Dark,19.399,1
7,Monospace,Light,23.687,2
7,SansSerif,Dark,22.511,6
7,SansSerif,Light,24.151,4
7,Cursive,Dark,25.119,5
7,Cursive,Light,27.009,3
8,Monospace,Dark,23.821,5
8,Monospace,Light,22.834,3
8,SansSerif,Dark,25.776,2
8,SansSerif,Light,26.571,1
8,Cursive,Dark,26.459,6
8,Cursive,Light,28.036,4
9,Monospace,Dark,31.149,5
9,Monospace,Light,30.467,2
9,SansSerif,Dark,35.632,1
9,SansSerif,Light,31.6,3
9,Cursive,Dark,29.066,6
9,Cursive,Light,30.515,4
10,Monospace,Dark,27.098,5
10,Monospace,Light,28.935,6
10,SansSerif,Dark,24.385,3
10,SansSerif,Light,26.868,4
10,Cursive,Dark,27.131,1
10,Cursive,Light,27.199,2
11,Monospace,Dark,32.983,4
11,Monospace,Light,31.765,5
11,SansSerif,Dark,35.866,2
11,SansSerif,Light,43.414,1
11,Cursive,Dark,25.867,6
11,Cursive,Light,33.365,3
12,Monospace,Dark,30.599,5
12,Monospace,Light,32.534,6
12,SansSerif,Dark,29.368,3
12,SansSerif,Light,29.516,1
12,Cursive,Dark,31.766,4
12,Cursive,Light,33.567,2
13,Monospace,Dark,23.695,6
13,Monospace,Light,23.497,5
13,SansSerif,Dark,24.062,4
13,SansSerif,Light,24.428,3
13,Cursive,Dark,25.16,2
13,Cursive,Light,28.139,1
14,Monospace,Dark,35.798,3
14,Monospace,Light,42.199,6
14,SansSerif,Dark,39.068,4
14,SansSerif,Light,33.498,1
14,Cursive,Dark,34.732,2
14,Cursive,Light,46.598,5
15,Monospace,Dark,23.4,2
15,Monospace,Light,19.483,6
15,SansSerif,Dark,18.683,4
15,SansSerif,Light,19.733,5
15,Cursive,Dark,31.684,1
15,Cursive,Light,22.834,3
16,Monospace,Dark,28.05,6
16,Monospace,Light,27.665,5
16,SansSerif,Dark,26.632,3
16,SansSerif,Light,33.732,1
16,Cursive,Dark,29.984,2
16,Cursive,Light,27.066,4
17,Monospace,Dark,24.504,6
17,Monospace,Light,25.832,5
17,SansSerif,Dark,22.298,4
17,SansSerif,Light,23.316,3
17,Cursive,Dark,28.129,1
17,Cursive,Light,25.369,2
