price	stated.count	stated.value	actual.count	actual.value	error	stratum
119.2	8	953.63	8	953.63	0	A
190.64	10	1906.42	10	1906.42	0	A
112.96	14	1581.4	15	1694.36	112.96	A
105.5	6	633	6	633	0	A
116.54	14	1631.55	11	1281.93	-349.62	A
106.06	9	954.51	9	954.51	0	A
158.72	15	2380.8	15	2380.8	0	A
145.64	10	1456.4	10	1456.4	0	A
103.28	8	826.27	8	826.27	0	A
104.22	10	1042.24	10	1042.24	0	A
120.96	7	846.7	7	846.7	0	A
139.19	11	1531.14	10	1391.94	-139.19	A
103.57	7	724.98	4	414.27	-310.71	A
123.44	13	1604.7	13	1604.7	0	A
103.55	6	621.31	6	621.31	0	A
102.31	8	818.51	8	818.51	0	A
108.86	12	1306.28	12	1306.28	0	A
103.22	3	309.67	2	206.45	-103.22	A
101.36	10	1013.63	10	1013.63	0	A
127.65	11	1404.18	11	1404.18	0	A
134.47	9	1210.2	9	1210.2	0	A
139.46	14	1952.5	14	1952.5	0	A
103.64	12	1243.72	12	1243.72	0	A
141.29	11	1554.18	11	1554.18	0	A
140.26	10	1402.57	10	1402.57	0	A
107.19	12	1286.25	12	1286.25	0	A
189.28	7	1324.95	7	1324.95	0	A
20.95	12	251.34	12	251.34	0	B
56.24	14	787.39	14	787.39	0	B
34.36	9	309.19	9	309.19	0	B
25.76	12	309.07	12	309.07	0	B
42.81	5	214.03	8	342.45	128.42	B
32.87	12	394.42	12	394.42	0	B
22.84	9	205.57	9	205.57	0	B
41.09	12	493.11	9	369.83	-123.28	B
78.89	14	1104.41	14	1104.41	0	B
36.22	9	325.95	9	325.95	0	B
36.1	8	288.76	6	216.57	-72.19	B
27.01	19	513.24	17	459.21	-54.03	B
85.59	10	855.88	10	855.88	0	B
36.31	12	435.67	12	435.67	0	B
44.77	9	402.91	7	313.38	-89.54	B
23.28	10	232.81	10	232.81	0	B
23.41	14	327.67	14	327.67	0	B
29.36	11	322.97	10	293.61	-29.36	B
62.34	11	685.78	11	685.78	0	B
48.22	9	433.97	7	337.53	-96.44	B
26.69	15	400.35	15	400.35	0	B
56.78	12	681.41	12	681.41	0	B
22.71	12	272.46	12	272.46	0	B
54.45	9	490.01	9	490.01	0	B
36.37	13	472.8	13	472.8	0	B
22.71	9	204.38	8	181.67	-22.71	B
57.81	20	1156.11	20	1156.11	0	B
20.73	7	145.12	7	145.12	0	B
37.25	9	335.21	9	335.21	0	B
40.75	14	570.43	13	529.69	-40.75	B
22.8	7	159.56	7	159.56	0	B
30.63	13	398.21	13	398.21	0	B
39.39	12	472.65	11	433.26	-39.39	B
73.65	7	515.52	7	515.52	0	B
57.03	13	741.41	13	741.41	0	B
24.78	9	223.02	8	198.24	-24.78	B
74.42	10	744.16	8	595.33	-148.83	B
39.85	12	478.18	11	438.33	-39.85	B
51.92	10	519.2	10	519.2	0	B
54.33	6	325.99	6	325.99	0	B
85.84	11	944.21	11	944.21	0	B
23.29	7	163.04	5	116.46	-46.58	B
90.75	16	1451.97	16	1451.97	0	B
52.46	9	472.15	10	524.61	52.46	B
4.8	10	48.04	9	43.24	-4.8	C
2.42	8	19.36	8	19.36	0	C
8.53	15	127.92	16	136.45	8.53	C
7.94	7	55.55	6	47.61	-7.94	C
2.35	8	18.8	7	16.45	-2.35	C
5.73	10	57.25	10	57.25	0	C
10.04	16	160.61	16	160.61	0	C
5.87	9	52.79	9	52.79	0	C
13.54	12	162.52	11	148.98	-13.54	C
3.25	12	38.98	12	38.98	0	C
3.37	8	26.96	7	23.59	-3.37	C
14.07	9	126.59	9	126.59	0	C
9.09	13	118.1	13	118.1	0	C
6.8	5	33.99	5	33.99	0	C
11.64	8	93.12	5	58.2	-34.92	C
6.77	5	33.83	5	33.83	0	C
7.08	12	84.95	12	84.95	0	C
16.68	11	183.48	11	183.48	0	C
5.87	13	76.33	13	76.33	0	C
2.82	15	42.32	15	42.32	0	C
8.23	12	98.73	12	98.73	0	C
11.07	11	121.73	11	121.73	0	C
10.72	15	160.83	13	139.38	-21.44	C
3.65	6	21.87	6	21.87	0	C
1.97	14	27.64	14	27.64	0	C
9.6	9	86.38	9	86.38	0	C
17.47	11	192.2	11	192.2	0	C
10.24	11	112.62	10	102.38	-10.24	C
10.68	13	138.85	13	138.85	0	C
